Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
WooCommerce,https://punishedprops.com/,no url,,Coulnd't find name of country,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
Shopify,https://dgvshop.com/,no url,United States,,,"$9.600,00","$3.200,00","$3.200,00",2,,,,,,,,,,,,,,,,,,,,,,$3.20,$3.20,$3.20
PrestaShop,https://patnabazaar.in/,https://www.linkedin.com/company/patna-bazaar/,India,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://gardeningwithcharlie.com/,no url,United States,,,"$400,00","$200,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$200
Magento,https://lighting-spot.com/,no url,United States,,,"$1.500,00","$500,00","$500,00",2,,,,,,,,,,,,,,,,,,,,,,$500,$500,$500
Magento,https://genesis-technologies.com/,https://www.linkedin.com/company/genesis-technologies-inc./about/,United States,,,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
PrestaShop,https://osyla.com/,https://www.linkedin.com/company/osyla/about/,France,,EU,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
WooCommerce,https://drmsh.com/,no url,United States,,,"$400,00","$200,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$200
Shopify,https://gamingboat.com/,no url,India,,,"$2.400,00","$800,00","$800,00",2,,,,,,,,,,,,,,,,,,,,,,$800,$800,$800
Shopify,https://www.luckyclothingco.com/,no url,United States,,,"$1.800,00","$600,00","$600,00",2,,,,,,,,,,,,,,,,,,,,,,$600,$600,$600
Shopify,https://stargalstyles.com/,no url,United States,,,"$2.200,00","$800,00","$600,00",2,,,,,,,,,,,,,,,,,,,,,,$600,$800,$800
WooCommerce,https://sewsweetness.com/,no url,United States,,,"$400,00","$200,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$200
PrestaShop,https://lucielefitness.com/,no url,France,,EU,"$400,00","$200,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$200
PrestaShop,https://startuno.com/,no url,Estonia,,EU,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
Magento,https://worldwidecorals.com/,https://www.linkedin.com/search/results/all/?keywords=World%20Wide%20Corals,United States,,,"$3.300,00","$1.200,00","$900,00",2,,,,,,,,,,,,,,,,,,,,,,$900,$1.20,$1.20
PrestaShop,https://luxeandtv.com/,no url,France,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://mercadosecurity.com.br/,https://www.linkedin.com/company/fortebras,Brasil,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://americancraftbeer.com/,https://www.linkedin.com/company/american-craft-beer-llc,United States,,,"$200,00","$100,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$100
PrestaShop,https://viale.pe/,https://pe.linkedin.com/company/viale-calzados,Peru,,,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
WooCommerce,https://uscpr.org/,no url,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://effetshopping.com/,no url,France,,EU,"$900,00","$300,00","$300,00",2,,,,,,,,,,,,,,,,,,,,,,$300,$300,$300
WooCommerce,https://aswb.org/,https://www.linkedin.com/company/aswb-association-of-social-work-boards,United States,,,"$900,00","$300,00","$300,00",2,,,,,,,,,,,,,,,,,,,,,,$300,$300,$300
WooCommerce,https://todayshomeowner.com/,https://www.linkedin.com/company/danny-lipford-media/about/,United States,,,"$900,00","$300,00","$300,00",2,,,,,,,,,,,,,,,,,,,,,,$300,$300,$300
Shopify,https://www.simplynaturebiogoods.com/,https://www.linkedin.com/company/simply-nature-bio-goods/,United States,,,"$1.800,00","$600,00","$600,00",2,,,,,,,,,,,,,,,,,,,,,,$600,$600,$600
Shopify,https://littlecocoon.co/,no url,United Arab Emirates,,,"$3.300,00","$1.100,00","$1.100,00",2,,,,,,,,,,,,,,,,,,,,,,$1.10,$1.10,$1.10
PrestaShop,https://petvaluemart.com/,no url,United States,,,"$2.400,00","$800,00","$800,00",2,,,,,,,,,,,,,,,,,,,,,,$800,$800,$800
PrestaShop,https://cosmeticsanna.co.uk/,no url,United Kingdom,,EU,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://mixedmediacanvas.com/,no url,Czech Republic,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://ibidi.com/,https://www.linkedin.com/company/ibidi-gmbh,Germany,,EU,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
BigCommerce,https://shop.rawblend.com.au/,https://www.linkedin.com/company/rawblend/about/,Australia,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://groovypost.com/,https://www.linkedin.com/company/groovypost,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
Shopify,https://www.caseknives.com,no url,United States,,,"$7.800,00","$2.600,00","$2.600,00",2,,,,,,,,,,,,,,,,,,,,,,$2.60,$2.60,$2.60
WooCommerce,https://thefreethoughtproject.com/,https://www.linkedin.com/search/results/all/?keywords=TheFreeThoughtProject.com,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://store.blender.org/,https://www.linkedin.com/company/blender-foundation/,Netherlands,,EU,"$200,00","$100,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$100,$50
Shopify,https://www.etiquettebride.com/,https://www.linkedin.com/company/etiquette-bride-experience,Mexico,,,"$3.000,00","$1.000,00","$1.000,00",2,,,,,,,,,,,,,,,,,,,,,,$1.00,$1.00,$1.00
Shopify,https://chellabeauty.myshopify.com,https://www.linkedin.com/company/chella-professional-skincare/about/,United States,,,"$7.500,00","$2.500,00","$2.500,00",2,,,,,,,,,,,,,,,,,,,,,,$2.50,$2.50,$2.50
Shopify,https://rhino.direct,https://www.linkedin.com/company/rhino-rugby-limited/about/,United Kingdom,,EU,"$4.200,00","$1.400,00","$1.400,00",2,,,,,,,,,,,,,,,,,,,,,,$1.40,$1.40,$1.40
Magento,https://hairbowcenter.com/,https://www.linkedin.com/company/hairbow-center-llc,United States,,,"$1.500,00","$500,00","$500,00",2,,,,,,,,,,,,,,,,,,,,,,$500,$500,$500
Magento,https://electronicsurplus.com/,https://www.linkedin.com/company/electronics-surplus,United States,,,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
Shopify,https://tlcnaturalsonline.com/,https://www.linkedin.com/company/tlc-naturals,United Kingdom,,EU,"$4.200,00","$1.400,00","$1.400,00",2,,,,,,,,,,,,,,,,,,,,,,$1.40,$1.40,$1.40
PrestaShop,https://thesilverwareguy.com/,no url,Canada,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
Magento,https://candlemaking.com/,https://www.linkedin.com/company/aztec-candle-and-soap-making-supplies,United States,,,"$4.500,00","$1.500,00","$1.500,00",2,,,,,,,,,,,,,,,,,,,,,,$1.50,$1.50,$1.50
Shopify,https://www.creativebikinis.com.au/,no url,Australia,,,"$7.200,00","$2.400,00","$2.400,00",2,,,,,,,,,,,,,,,,,,,,,,$2.40,$2.40,$2.40
Shopify,https://macpatric.com/,no url,Sweden,,EU,"$2.400,00","$800,00","$800,00",2,,,,,,,,,,,,,,,,,,,,,,$800,$800,$800
Magento,https://shopheart.org/,no url,United States,,,"$3.000,00","$1.000,00","$1.000,00",2,,,,,,,,,,,,,,,,,,,,,,$1.00,$1.00,$1.00
PrestaShop,https://nebane.es/,no url,Spain,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://doricoin.com/,https://www.linkedin.com/company/doricoin-com,Iran,,,"$2.400,00","$800,00","$800,00",2,,,,,,,,,,,,,,,,,,,,,,$800,$800,$800
PrestaShop,https://instintoerotico.com/,no url,,Coulnd't find name of country,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://necaled.com/,no url,Brasil,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://onlinegalerie-menzel.de/,no url,Germany,,EU,"$600,00","$300,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$200,$300
PrestaShop,https://ozongold.pl/,no url,Poland,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
Shopify,https://www.delea.ch/,no url,Switzerland,,EU,"$8.700,00","$2.900,00","$2.900,00",2,,,,,,,,,,,,,,,,,,,,,,$2.90,$2.90,$2.90
PrestaShop,https://partypublix.nl/,no url,Netherlands,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://poster.cl/,no url,Chile,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://promees.us/,no url,United States,,,"$500,00","$200,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$200,$200
PrestaShop,https://psstunisie.tn/,https://www.linkedin.com/company/tunisie-travail.tn,Tunisia,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://planetnatural.com/,no url,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://askleo.com/,https://www.linkedin.com/company/ask-leo-,United States,,,"$1.500,00","$500,00","$500,00",2,,,,,,,,,,,,,,,,,,,,,,$500,$500,$500
WooCommerce,https://gatdaily.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://jiujitsutimes.com/,https://www.linkedin.com/search/results/all/?keywords=Jiu-Jitsu%20Times,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://tpusa.com/,https://www.linkedin.com/company/turningpointusa/about/,United States,,,"$250,00","$100,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$100,$100
WooCommerce,https://nycinsiderguide.com/,https://www.linkedin.com/company/www.nycinsiderguide.com,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://burkewilliamsspa.com/,https://www.linkedin.com/company/burke-williams-spa,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
Magento,https://countrycasualteak.com/,https://www.linkedin.com/company/country-casual-teak,United States,,,"$6.300,00","$2.200,00","$1.900,00",2,,,,,,,,,,,,,,,,,,,,,,$1.90,$2.20,$2.20
WooCommerce,https://baynature.org/,https://www.linkedin.com/company/bay-nature-institute,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://iontb.com/,no url,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://aliba-viene.shop/,no url,Colombia,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
Magento,https://memphisdrumshop.com/,https://fr.linkedin.com/company/memphis-drum-shop,United States,,,"$2.100,00","$700,00","$700,00",2,,,,,,,,,,,,,,,,,,,,,,$700,$700,$700
PrestaShop,https://articuloslimpiezadavid.es/,no url,Spain,,EU,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
Magento,https://skycraftsurplus.com/,https://www.linkedin.com/company/skycraft-parts-and-surplus,United States,,,"$900,00","$300,00","$300,00",2,,,,,,,,,,,,,,,,,,,,,,$300,$300,$300
PrestaShop,https://pureicelandseafood.com/,no url,Iceland,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://refacciomex.com/,no url,Mexico,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://greenroadsworld.com/,https://www.linkedin.com/company/green-roads-world,United States,,,"$3.300,00","$1.200,00","$900,00",2,,,,,,,,,,,,,,,,,,,,,,$900,$1.20,$1.20
PrestaShop,https://americars.com.ar/,https://www.linkedin.com/company/americars,Argentina,,,"$1.600,00","$600,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$600,$600
PrestaShop,https://austina.com.au/,https://www.linkedin.com/company/austina,Australia,,,"$900,00","$300,00","$300,00",2,,,,,,,,,,,,,,,,,,,,,,$300,$300,$300
PrestaShop,https://taxfreesnus.com/,https://www.linkedin.com/company/slew-sl,Andorra,,EU,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
PrestaShop,https://reparacionrelojesbarometros.es/,no url,Spain,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://setscycling.com/,no url,China,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
Magento,https://originalretrobrand.com/,https://www.linkedin.com/company/original-retro-brand,United States,,,"$3.600,00","$1.200,00","$1.200,00",2,,,,,,,,,,,,,,,,,,,,,,$1.20,$1.20,$1.20
Magento,https://cremocompany.com/,https://www.linkedin.com/company/cremo-company-llc,United States,,,"$4.800,00","$1.600,00","$1.600,00",2,,,,,,,,,,,,,,,,,,,,,,$1.60,$1.60,$1.60
Magento,https://kefdirect.com/,no url,,Coulnd't find name of country,,"$3.300,00","$1.100,00","$1.100,00",2,,,,,,,,,,,,,,,,,,,,,,$1.10,$1.10,$1.10
Magento,https://mikarose.com/,https://www.linkedin.com/company/mikarose,United States,,,"$3.600,00","$1.200,00","$1.200,00",2,,,,,,,,,,,,,,,,,,,,,,$1.20,$1.20,$1.20
Magento,https://beyerdynamic.com/,https://www.linkedin.com/company/beyerdynamic,Germany,,EU,"$4.800,00","$1.600,00","$1.600,00",2,,,,,,,,,,,,,,,,,,,,,,$1.60,$1.60,$1.60
Magento,https://fashioneyewear.com/,https://www.linkedin.com/company/fashion-eyewear,United Kingdom,,EU,"$3.300,00","$1.100,00","$1.100,00",2,,,,,,,,,,,,,,,,,,,,,,$1.10,$1.10,$1.10
Shopify,https://beastcraftgoods.com/,no url,India,,,"$3.600,00","$1.200,00","$1.200,00",2,,,,,,,,,,,,,,,,,,,,,,$1.20,$1.20,$1.20
Shopify,https://www.mangomask.com/,no url,India,,,"$3.600,00","$1.200,00","$1.200,00",2,,,,,,,,,,,,,,,,,,,,,,$1.20,$1.20,$1.20
Shopify,https://www.jemorganics.com/,no url,United States,,,"$2.100,00","$700,00","$700,00",2,,,,,,,,,,,,,,,,,,,,,,$700,$700,$700
Shopify,https://5starshine.com/,https://www.linkedin.com/company/starshine-systems/about/,United States,,,"$1.800,00","$600,00","$600,00",2,,,,,,,,,,,,,,,,,,,,,,$600,$600,$600
Shopify,https://shop.clairepettibone.com/,https://www.linkedin.com/company/claire-pettibone/,United States,,,"$1.500,00","$500,00","$500,00",2,,,,,,,,,,,,,,,,,,,,,,$500,$500,$500
Shopify,https://twobrothersindiashop.com/,no url,India,,,"$3.600,00","$1.200,00","$1.200,00",2,,,,,,,,,,,,,,,,,,,,,,$1.20,$1.20,$1.20
WooCommerce,https://cancertutor.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://restartmed.com/,https://www.linkedin.com/company/dr.-westin-childs,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://shop.justbee.us/,no url,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://shop.reflections-carcare.com/,no url,Philippines,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://specsonline.com/,https://www.linkedin.com/company/specs-liquor,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://healthstatus.com/,https://www.linkedin.com/company/healthstatus,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://eastidahonews.com/,https://www.linkedin.com/company/eastidahonews.com,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://touchupdirect.com/,https://www.linkedin.com/company/touchupdirect/about/,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://iscrapapp.com/,https://www.linkedin.com/company/iscrap-app-inc,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://toontrack.com/,https://www.linkedin.com/company/toontrack-music-ab,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://stevespanglerscience.com/,https://www.linkedin.com/company/steve-spangler-science/,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
Magento,https://firearmsunknown.com/,no url,United States,,,"$2.700,00","$900,00","$900,00",2,,,,,,,,,,,,,,,,,,,,,,$900,$900,$900
Shopify,https://www.cinegearpro.co.uk/,https://www.linkedin.com/company/cinegearpro,United Kingdom,,EU,"$4.800,00","$1.600,00","$1.600,00",2,,,,,,,,,,,,,,,,,,,,,,$1.60,$1.60,$1.60
Shopify,https://surfroam.com/,https://www.linkedin.com/company/surfroam/,Estonia,,EU,"$4.500,00","$1.500,00","$1.500,00",2,,,,,,,,,,,,,,,,,,,,,,$1.50,$1.50,$1.50
Magento,https://seasonic.com/,https://www.linkedin.com/company/seasonic-electronics-inc,Taiwan,,,"$5.100,00","$1.700,00","$1.700,00",2,,,,,,,,,,,,,,,,,,,,,,$1.70,$1.70,$1.70
WooCommerce,https://safishing.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://bierwijn.nl/,no url,Netherlands,,EU,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://soldiersystems.net/,https://www.linkedin.com/company/kfarmory/,,Coulnd't find name of country,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://grrrgraphics.com/,no url,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
Shopify,https://silkn.ca/,https://www.linkedin.com/company/home-skinovations-ltd-/about/,Canada,,,"$8.100,00","$2.700,00","$2.700,00",2,,,,,,,,,,,,,,,,,,,,,,$2.70,$2.70,$2.70
Shopify,https://kinsiology-tape.myshopify.com/,no url,United States,,,"$6.300,00","$2.100,00","$2.100,00",2,,,,,,,,,,,,,,,,,,,,,,$2.10,$2.10,$2.10
PrestaShop,https://stagric.pt/,no url,Portugal,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://deardogshop.it/,no url,Italy,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://surtidoradebellezazande.com/,no url,Colombia,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://technomark.es/,no url,Spain,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
Magento,https://compressorworld.com/,https://www.linkedin.com/company/compressor-world-llc,United States,,,"$4.800,00","$1.600,00","$1.600,00",2,,,,,,,,,,,,,,,,,,,,,,$1.60,$1.60,$1.60
Magento,https://areatrend.com/,https://www.linkedin.com/company/areatrend1,United States,,,"$900,00","$300,00","$300,00",2,,,,,,,,,,,,,,,,,,,,,,$300,$300,$300
Magento,https://polyperformance.com/,https://www.linkedin.com/company/poly-performance-inc-,United States,,,"$2.400,00","$800,00","$800,00",2,,,,,,,,,,,,,,,,,,,,,,$800,$800,$800
WooCommerce,https://blog.eventective.com/,https://www.linkedin.com/company/eventective,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://store.speedhunters.com/,https://www.linkedin.com/company/speedhunters/about/,United Kingdom,,EU,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://theworldbanknoteshop.com/,no url,,Couldn't find name of country,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://blessexxx.com/,no url,,Website is down,,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
PrestaShop,https://keramikaburada.com/,no url,Turkey,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://bass.co.za/,https://www.linkedin.com/search/results/all/?keywords=World%20of%20Fishing%20%2F%20www.%20Bass.co.za,South Africa,,,"$1.200,00","$400,00","$400,00",2,,,,,,,,,,,,,,,,,,,,,,$400,$400,$400
WooCommerce,https://x-plane.com/,no url,,Couldn't find name of country,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://store.isixsigma.com/,https://www.linkedin.com/company/isixsigma/about/,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://gunnar.com/,https://www.linkedin.com/company/gunnar-optiks,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://education.resilience.org/,https://www.linkedin.com/company/resilience-resources-limited,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://equip.org/,no url,United States,,,"$1.800,00","$600,00","$600,00",2,,,,,,,,,,,,,,,,,,,,,,$600,$600,$600
WooCommerce,https://bicyclecards.com/,no url,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
Magento,https://babytrend.com/,https://www.linkedin.com/company/baby-trend-inc-,United States,,,"$4.800,00","$1.600,00","$1.600,00",2,,,,,,,,,,,,,,,,,,,,,,$1.60,$1.60,$1.60
PrestaShop,https://tronisco.com/,no url,Spain,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://validcode.pl/,no url,Poland,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://jamaicacottageshop.com/,https://www.linkedin.com/company/jamaica-cottage-inc,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://shop.naturalsociety.com/,https://www.linkedin.com/company/naturalsociety/,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://theherbalacademy.com/,https://www.linkedin.com/company/herbal-academy-of-new-england,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
PrestaShop,https://vexpressions.net/,no url,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://welora.se/,no url,Sweden,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://courses.gretchenrubin.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://xn--poniak-cpb.com/,no url,,Website is down,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://zapatosconalzas.com/,no url,Spain,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://thesweetsetup.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://shop.prodosgames.com/,https://www.linkedin.com/company/prodos-games-ltd/about/,United Kingdom,,EU,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://sena.com/,https://www.linkedin.com/company/sena-technologies-inc-/,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://stonefiregrill.com/,https://www.linkedin.com/company/stonefire-grill-inc,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://1001dogsshop.com/,no url,,Website is down,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://shoecity.com/,https://www.linkedin.com/company/city-shoe/about/,United States,,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://peta2.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
Shopify,https://www.dianebeautysupply.ca/,no url,Canada,,,"$6.100,00","$2.100,00","$2.000,00",2,,,,,,,,,,,,,,,,,,,,,,$2.00,$2.00,$2.10
PrestaShop,https://graysgallery.co.uk/,https://www.linkedin.com/company/ed-gray-gallery,United Kingdom,,EU,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
WooCommerce,https://learnjazzstandards.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
WooCommerce,https://flexsealproducts.com/,https://www.linkedin.com/company/swift-response,United States,,,"$600,00","$200,00","$200,00",2,,,,,,,,,,,,,,,,,,,,,,$200,$200,$200
WooCommerce,https://used.samashmusic.com/,no url,United States,,,"$150,00","$50,00","$50,00",2,,,,,,,,,,,,,,,,,,,,,,$50,$50,$50
PrestaShop,https://inglotusa.com/,https://www.linkedin.com/company/inglot,United States,"Linkedin is Poland, but site is United States",,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
PrestaShop,https://inkyhop.com/,no url,,Couldn't find name of country,,"$300,00","$100,00","$100,00",2,,,,,,,,,,,,,,,,,,,,,,$100,$100,$100
Shopify,https://www.sunglassmuseum.com/,https://www.linkedin.com/company/sunglass-museum-llc,United States,,,"$2.100,00","$700,00","$700,00",2,,,,,,,,,,,,,,,,,,,,,,$700,$700,$700
