Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
Magento,https://harveynorman.si/,https://si.linkedin.com/company/harvey-norman,Slovenia,,EU,"$16.100,00","$900,00","$800,00",17,,,,,,,$800,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900
PrestaShop,https://juguetepolis.com/,no url,,Couldn't find name of country,,"$1.800,00","$100,00","$100,00",17,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
PrestaShop,https://natin2krazyhawaii.com/,no url,United States,,,"$1.800,00","$100,00","$100,00",17,,,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
WooCommerce,https://pianoworld.com/,https://it.linkedin.com/company/piano-world,United States,,,"$900,00","$50,00","$50,00",17,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
PrestaShop,https://gorillaadventures.in/,https://www.linkedin.com/company/gorilla-adventures/about/,India,,,"$5.100,00","$400,00","$100,00",17,,,,,,,$100,$100,$100,$100,$100,$100,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
WooCommerce,https://goodereader.com/,https://www.linkedin.com/company/good-e-reader,Canada,,,"$2.550,00","$200,00","$50,00",17,,,,,,,$50,$50,$50,$50,$50,$50,$50,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
PrestaShop,https://esteticabaixocusto.com/,no url,Portugal,,EU,"$5.300,00","$300,00","$200,00",17,,,,,,,$200,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300,$300
WooCommerce,https://julianbakery.com/,https://www.linkedin.com/company/julian-bakery,United States,,,"$2.350,00","$300,00","$50,00",17,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$200,$200,$200,$300,$300,$300,$300
WooCommerce,https://slimchickens.com/,https://www.linkedin.com/company/slim-chickens,United States,,,"$2.650,00","$300,00","$50,00",17,,,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$300,$300,$300,$300,$300,$300,$300
Shopify,https://rkcollections.com/,https://www.linkedin.com/company/rk-collections-boutique/about/,United States,,,"$10.300,00","$600,00","$400,00",17,,,,,,,$400,$500,$500,$500,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600
